"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\SparePartForm.tsx", "TypeScript JSX", 0, 0, 239, 0, 5, 18, 262
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\diagnostic-device\[id].tsx", "TypeScript JSX", 0, 0, 144, 0, 0, 15, 159
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\index.tsx", "TypeScript JSX", 0, 0, 569, 0, 13, 34, 616
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\medical-device\[id].tsx", "TypeScript JSX", 0, 0, 162, 0, 0, 22, 184
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\spare-part\[id].tsx", "TypeScript JSX", 0, 0, 124, 0, 0, 12, 136
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\DiagnosticStepperDialog.tsx", "TypeScript JSX", 0, 0, 513, 0, 52, 69, 634
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\DiagnosticStepperSidebar.tsx", "TypeScript JSX", 0, 0, 111, 0, 5, 8, 124
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\PatientInfoCard.tsx", "TypeScript JSX", 0, 0, 67, 0, 3, 7, 77
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\ProductFormCompany.tsx", "TypeScript JSX", 0, 0, 191, 0, 4, 14, 209
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\ProductFormPatient.tsx", "TypeScript JSX", 0, 0, 150, 0, 4, 13, 167
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\RentStepperDialog.tsx", "TypeScript JSX", 0, 0, 327, 0, 25, 39, 391
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\RentStepperSidebar.tsx", "TypeScript JSX", 0, 0, 190, 0, 9, 12, 211
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\SaleStepperDialog.tsx", "TypeScript JSX", 0, 0, 414, 0, 31, 47, 492
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\SaleStepperSidebar.tsx", "TypeScript JSX", 0, 0, 204, 0, 9, 13, 226
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\StepperForm.tsx", "TypeScript JSX", 0, 0, 104, 0, 1, 10, 115
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\TabSwitcher.tsx", "TypeScript JSX", 0, 0, 56, 0, 0, 6, 62
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\dialogs\DiagnosticResultDialog.tsx", "TypeScript JSX", 0, 0, 116, 0, 0, 9, 125
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\dialogs\ProductDialog.tsx", "TypeScript JSX", 0, 0, 262, 0, 24, 27, 313
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\sales\CNAMDossierSection.tsx", "TypeScript JSX", 0, 0, 94, 0, 1, 8, 103
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\sales\SaleDetailsCNAMTab.tsx", "TypeScript JSX", 0, 0, 124, 0, 2, 11, 137
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\sales\SaleDetailsTabsWithCNAM.tsx", "TypeScript JSX", 0, 0, 51, 0, 5, 10, 66
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\steps\ClientSelectionStep.tsx", "TypeScript JSX", 0, 0, 363, 0, 21, 29, 413
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\steps\ProductCard.tsx", "TypeScript JSX", 0, 0, 86, 0, 4, 13, 103
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\steps\ProductSelectionStep.tsx", "TypeScript JSX", 0, 0, 68, 0, 14, 6, 88
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\steps\diagnostic\DiagnosticProductDialog.tsx", "TypeScript JSX", 0, 0, 122, 0, 3, 9, 134
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\steps\diagnostic\NewDiagnosticProductStep.tsx", "TypeScript JSX", 0, 0, 204, 0, 17, 25, 246
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\steps\diagnostic\ParameterConfigurationDialog.tsx", "TypeScript JSX", 0, 0, 162, 0, 13, 20, 195
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\steps\product\CompanyProductSelection.tsx", "TypeScript JSX", 0, 0, 480, 0, 24, 36, 540
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\steps\product\PatientProductSelection.tsx", "TypeScript JSX", 0, 0, 318, 0, 22, 35, 375
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\steps\product\ProductParameterDialog.tsx", "TypeScript JSX", 0, 0, 86, 0, 7, 13, 106
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\steps\rental\RentalDetailsStep.tsx", "TypeScript JSX", 0, 0, 162, 0, 6, 11, 179
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\tables\DiagnosticTable.tsx", "TypeScript JSX", 0, 0, 346, 0, 11, 29, 386
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\tables\RentalTable.tsx", "TypeScript JSX", 0, 0, 266, 0, 5, 20, 291
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\components\tables\SalesTable.tsx", "TypeScript JSX", 0, 0, 314, 0, 5, 20, 339
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\dashboard\index.tsx", "TypeScript JSX", 0, 0, 84, 0, 5, 13, 102
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\diagnostics\[id]\components\DeviceInformation.tsx", "TypeScript JSX", 0, 0, 119, 0, 2, 13, 134
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\diagnostics\[id]\components\DiagnosticDocuments.tsx", "TypeScript JSX", 0, 0, 235, 0, 17, 24, 276
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\diagnostics\[id]\components\DiagnosticHeader.tsx", "TypeScript JSX", 0, 0, 114, 0, 3, 12, 129
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\diagnostics\[id]\components\DiagnosticNotes.tsx", "TypeScript JSX", 0, 0, 123, 0, 1, 11, 135
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\diagnostics\[id]\components\DiagnosticResultsForm.tsx", "TypeScript JSX", 0, 0, 305, 0, 16, 25, 346
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\diagnostics\[id]\components\DiagnosticTasks.tsx", "TypeScript JSX", 0, 0, 218, 0, 7, 25, 250
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\diagnostics\[id]\components\PatientInformation.tsx", "TypeScript JSX", 0, 0, 84, 0, 2, 12, 98
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\diagnostics\[id]\index.tsx", "TypeScript JSX", 0, 0, 203, 0, 12, 19, 234
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\diagnostics\[id]\results.tsx", "TypeScript JSX", 0, 0, 197, 0, 7, 19, 223
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\diagnostics\index.tsx", "TypeScript JSX", 0, 0, 76, 0, 3, 10, 89
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\espace-technicien\components\InstallationsHistory.tsx", "TypeScript JSX", 0, 0, 131, 0, 0, 9, 140
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\espace-technicien\components\PaymentsHistory.tsx", "TypeScript JSX", 0, 0, 156, 0, 0, 12, 168
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\espace-technicien\components\TasksHistory.tsx", "TypeScript JSX", 0, 0, 194, 0, 3, 14, 211
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\espace-technicien\components\TechnicianHistory.tsx", "TypeScript JSX", 0, 0, 85, 0, 0, 13, 98
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\espace-technicien\components\TechnicianSelector.tsx", "TypeScript JSX", 0, 0, 122, 0, 1, 10, 133
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\espace-technicien\components\TransfersHistory.tsx", "TypeScript JSX", 0, 0, 147, 0, 0, 14, 161
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\espace-technicien\index.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 5, 28
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\help\index.tsx", "TypeScript JSX", 0, 0, 333, 0, 9, 23, 365
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\index.tsx", "TypeScript JSX", 0, 0, 226, 0, 8, 20, 254
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\info-step\components\DiagnosticStepperInfo.tsx", "TypeScript JSX", 0, 0, 90, 0, 0, 7, 97
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\info-step\components\RentStepperInfo.tsx", "TypeScript JSX", 0, 0, 90, 0, 0, 7, 97
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\info-step\components\SaleStepperInfo.tsx", "TypeScript JSX", 0, 0, 173, 0, 4, 11, 188
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\info-step\index.tsx", "TypeScript JSX", 0, 0, 59, 0, 0, 7, 66
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\notifications\index.tsx", "TypeScript JSX", 0, 0, 418, 0, 13, 45, 476
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\produits\[id].tsx", "TypeScript JSX", 0, 0, 103, 0, 0, 11, 114
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\profile.tsx", "TypeScript JSX", 0, 0, 137, 0, 3, 13, 153
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\renseignement\components\FileViewer.tsx", "TypeScript JSX", 0, 0, 115, 0, 13, 23, 151
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\renseignement\components\RenseignementTable.tsx", "TypeScript JSX", 0, 0, 338, 0, 12, 20, 370
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\renseignement\index.tsx", "TypeScript JSX", 0, 0, 610, 0, 30, 64, 704
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\renseignement\patient\[id]\index.tsx", "TypeScript JSX", 0, 0, 222, 0, 15, 22, 259
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\renseignement\societe\[id]\index.tsx", "TypeScript JSX", 0, 0, 271, 0, 13, 20, 304
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\rentals\[id].tsx", "TypeScript JSX", 0, 0, 148, 0, 6, 21, 175
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\rentals\components\RentalDetailsCNAMSteps.tsx", "TypeScript JSX", 0, 0, 118, 0, 6, 15, 139
